asset,session_date,N_origins,b2_5m_window_empty_count,b2_30m_window_empty_count,b2_5m_window_empty_unknown,b2_30m_window_empty_unknown
NVDA,2024-11-22,65,0,0,0,0
TSLA,2024-11-22,65,0,0,0,0
AAPL,2024-11-25,65,0,0,0,0
AMZN,2024-11-25,65,0,0,0,0
META,2024-11-25,65,0,0,0,0
MSFT,2024-11-25,65,0,0,0,0
NVDA,2024-11-25,65,0,0,0,0
TSLA,2024-11-25,65,0,0,0,0
AAPL,2024-11-26,65,0,0,0,0
AMZN,2024-11-26,65,0,0,0,0
META,2024-11-26,65,0,0,0,0
MSFT,2024-11-26,65,0,0,0,0
NVDA,2024-11-26,65,0,0,0,0
TSLA,2024-11-26,65,0,0,0,0
AAPL,2024-11-27,65,0,0,0,0
AMZN,2024-11-27,65,0,0,0,0
META,2024-11-27,65,0,0,0,0
MSFT,2024-11-27,65,0,0,0,0
NVDA,2024-11-27,65,0,0,0,0
TSLA,2024-11-27,65,0,0,0,0
AAPL,2024-11-29,29,0,0,0,0
AMZN,2024-11-29,29,0,0,0,0
META,2024-11-29,29,0,0,0,0
MSFT,2024-11-29,29,0,0,0,0
NVDA,2024-11-29,29,0,0,0,0
TSLA,2024-11-29,29,0,0,0,0
AAPL,2024-12-02,65,0,0,0,0
AMZN,2024-12-02,65,0,0,0,0
META,2024-12-02,65,0,0,0,0
MSFT,2024-12-02,65,0,0,0,0
NVDA,2024-12-02,65,0,0,0,0
TSLA,2024-12-02,65,0,0,0,0
AAPL,2024-12-03,65,0,0,0,0
AMZN,2024-12-03,65,0,0,0,0
META,2024-12-03,65,0,0,0,0
MSFT,2024-12-03,65,0,0,0,0
NVDA,2024-12-03,65,0,0,0,0
TSLA,2024-12-03,65,0,0,0,0
AAPL,2024-12-04,65,0,0,0,0
AMZN,2024-12-04,65,0,0,0,0
META,2024-12-04,65,0,0,0,0
MSFT,2024-12-04,65,0,0,0,0
NVDA,2024-12-04,65,0,0,0,0
TSLA,2024-12-04,65,0,0,0,0
AAPL,2024-12-05,65,0,0,0,0
AMZN,2024-12-05,65,0,0,0,0
META,2024-12-05,65,0,0,0,0
MSFT,2024-12-05,65,0,0,0,0
NVDA,2024-12-05,65,0,0,0,0
TSLA,2024-12-05,65,0,0,0,0
AAPL,2024-12-06,65,0,0,0,0
AMZN,2024-12-06,65,0,0,0,0
META,2024-12-06,65,0,0,0,0
MSFT,2024-12-06,65,0,0,0,0
NVDA,2024-12-06,65,0,0,0,0
TSLA,2024-12-06,65,0,0,0,0
AAPL,2024-12-09,65,0,0,0,0
AMZN,2024-12-09,65,0,0,0,0
META,2024-12-09,65,0,0,0,0
MSFT,2024-12-09,65,0,0,0,0
NVDA,2024-12-09,65,0,0,0,0
TSLA,2024-12-09,65,0,0,0,0
AAPL,2024-12-10,65,0,0,0,0
AMZN,2024-12-10,65,0,0,0,0
META,2024-12-10,65,0,0,0,0
MSFT,2024-12-10,65,0,0,0,0
NVDA,2024-12-10,65,0,0,0,0
TSLA,2024-12-10,65,0,0,0,0
AAPL,2024-12-11,65,0,0,0,0
AMZN,2024-12-11,65,0,0,0,0
META,2024-12-11,65,0,0,0,0
MSFT,2024-12-11,65,0,0,0,0
NVDA,2024-12-11,65,0,0,0,0
TSLA,2024-12-11,65,0,0,0,0
AAPL,2024-12-12,65,0,0,0,0
AMZN,2024-12-12,65,0,0,0,0
META,2024-12-12,65,0,0,0,0
MSFT,2024-12-12,65,0,0,0,0
NVDA,2024-12-12,65,0,0,0,0
TSLA,2024-12-12,65,0,0,0,0
AAPL,2024-12-13,65,0,0,0,0
AMZN,2024-12-13,65,0,0,0,0
META,2024-12-13,65,0,0,0,0
MSFT,2024-12-13,65,0,0,0,0
NVDA,2024-12-13,65,0,0,0,0
TSLA,2024-12-13,65,0,0,0,0
AAPL,2024-12-16,65,0,0,0,0
AMZN,2024-12-16,65,0,0,0,0
META,2024-12-16,65,0,0,0,0
MSFT,2024-12-16,65,0,0,0,0
NVDA,2024-12-16,65,0,0,0,0
TSLA,2024-12-16,65,0,0,0,0
AAPL,2024-12-17,65,0,0,0,0
AMZN,2024-12-17,65,0,0,0,0
META,2024-12-17,65,0,0,0,0
MSFT,2024-12-17,65,0,0,0,0
NVDA,2024-12-17,65,0,0,0,0
TSLA,2024-12-17,65,0,0,0,0
AAPL,2024-12-18,65,0,0,0,0
AMZN,2024-12-18,65,0,0,0,0
META,2024-12-18,65,0,0,0,0
MSFT,2024-12-18,65,0,0,0,0
NVDA,2024-12-18,65,0,0,0,0
TSLA,2024-12-18,65,0,0,0,0
AAPL,2024-12-19,65,0,0,0,0
AMZN,2024-12-19,65,0,0,0,0
META,2024-12-19,65,0,0,0,0
MSFT,2024-12-19,65,0,0,0,0
NVDA,2024-12-19,65,0,0,0,0
TSLA,2024-12-19,65,0,0,0,0
AAPL,2024-12-20,65,0,0,0,0
AMZN,2024-12-20,65,0,0,0,0
META,2024-12-20,65,0,0,0,0
MSFT,2024-12-20,65,0,0,0,0
NVDA,2024-12-20,65,0,0,0,0
TSLA,2024-12-20,65,0,0,0,0
AAPL,2024-12-23,65,0,0,0,0
AMZN,2024-12-23,65,0,0,0,0
META,2024-12-23,65,0,0,0,0
MSFT,2024-12-23,65,0,0,0,0
NVDA,2024-12-23,65,0,0,0,0
TSLA,2024-12-23,65,0,0,0,0
AAPL,2024-12-24,29,0,0,0,0
AMZN,2024-12-24,29,0,0,0,0
META,2024-12-24,29,0,0,0,0
MSFT,2024-12-24,29,0,0,0,0
NVDA,2024-12-24,29,0,0,0,0
TSLA,2024-12-24,29,0,0,0,0
AAPL,2024-12-26,65,0,0,0,0
AMZN,2024-12-26,65,0,0,0,0
META,2024-12-26,65,0,0,0,0
MSFT,2024-12-26,65,0,0,0,0
NVDA,2024-12-26,65,0,0,0,0
TSLA,2024-12-26,65,0,0,0,0
AAPL,2024-12-27,65,0,0,0,0
AMZN,2024-12-27,65,0,0,0,0
META,2024-12-27,65,0,0,0,0
MSFT,2024-12-27,65,0,0,0,0
NVDA,2024-12-27,65,0,0,0,0
TSLA,2024-12-27,65,0,0,0,0
AAPL,2024-12-30,65,0,0,0,0
AMZN,2024-12-30,65,0,0,0,0
META,2024-12-30,65,0,0,0,0
MSFT,2024-12-30,65,0,0,0,0
NVDA,2024-12-30,65,0,0,0,0
TSLA,2024-12-30,65,0,0,0,0
AAPL,2024-12-31,65,0,0,0,0
AMZN,2024-12-31,65,0,0,0,0
META,2024-12-31,65,0,0,0,0
MSFT,2024-12-31,65,0,0,0,0
NVDA,2024-12-31,65,0,0,0,0
TSLA,2024-12-31,65,0,0,0,0
AAPL,2025-01-02,65,0,0,0,0
AMZN,2025-01-02,65,0,0,0,0
