horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,primary,presence:b1_iv_60d,presence,finite_presence_binary,419,-0.0025123614546589,0.0,0.0036519202127595,-0.2381393623170507,0.0423125493076261,7,10,402,17,0.0167064439140811,0.0238663484486873
5,primary,presence:b1_iv_7d,presence,finite_presence_binary,419,-0.0017334876994657,0.0,0.0022114234700784,-0.2189540417896477,0.0228457618355191,5,4,410,9,0.0119331742243436,0.0095465393794749
5,primary,presence:b1_iv_90d,presence,finite_presence_binary,419,-0.0040595311512611,0.0,0.0042542317023314,-0.2385285335270345,0.0210141367552304,2,9,408,11,0.0047732696897374,0.0214797136038186
5,primary,presence:b1_iv_minus_trailing_rv_30d,presence,finite_presence_binary,419,-0.0050776197321486,0.0,0.0063336373366561,-0.2386631054172443,0.0380766101973007,10,15,394,25,0.0238663484486873,0.035799522673031
5,primary,presence:b1_mfiv,presence,finite_presence_binary,419,0.1758048299121627,0.0930071335548158,0.177470062000157,-0.0178298324414942,0.3627195992182297,368,20,31,388,0.8782816229116945,0.0477326968973747
5,primary,presence:b1_risk_reversal_25,presence,finite_presence_binary,419,-0.0066431253158884,-0.0074069023951368,0.0068321300269317,-0.0143196544539142,0.0042417888245847,14,359,46,373,0.0334128878281622,0.8568019093078759
5,primary,presence:b1_smile_curvature,presence,finite_presence_binary,419,-0.0038710891041249,0.0,0.0056321341607068,-0.2381658824442972,0.0387218411131262,16,13,390,29,0.0381861575178997,0.0310262529832935
5,primary,presence:b1_smile_level,presence,finite_presence_binary,419,-0.0040973014711469,0.0,0.0048362676848354,-0.2375146414011979,0.0409120231659012,5,10,404,15,0.0119331742243436,0.0238663484486873
5,primary,presence:b1_smile_slope,presence,finite_presence_binary,419,-0.0048001039777333,0.0,0.005677121986082,-0.240066134685823,0.0413981415423574,7,12,400,19,0.0167064439140811,0.0286396181384248
5,primary,presence:b1_term_convexity,presence,finite_presence_binary,419,-0.0031374880904459,0.0,0.003765317696579,-0.2402708695075836,0.0380040592079622,5,10,404,15,0.0119331742243436,0.0238663484486873
5,primary,presence:b1_term_slope,presence,finite_presence_binary,419,-0.0072255583004255,0.0,0.0092444861582935,-0.2208441770514042,0.0390996738702578,14,24,381,38,0.0334128878281622,0.0572792362768496
5,primary,presence:b2_30m_buy_premium_share,presence,finite_presence_binary,419,0.0029651147773893,0.0,0.00471470446563,-0.1034589667474656,0.116947015610757,31,16,372,47,0.0739856801909307,0.0381861575178997
5,primary,presence:b2_30m_contracts,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_d_iv,presence,finite_presence_binary,419,0.0010201427377955,0.0,0.0024541939197255,-0.1032019820265369,0.1138632216881632,11,7,401,18,0.026252983293556,0.0167064439140811
5,primary,presence:b2_30m_d_mid_rel,presence,finite_presence_binary,419,0.0005878215822306,0.0,0.0007120580219028,-0.0196252963463936,0.0731763318247108,6,2,411,8,0.0143198090692124,0.0047732696897374
5,primary,presence:b2_30m_d_spread,presence,finite_presence_binary,419,0.0003524055371828,0.0,0.0009378722829552,-0.0981985622431997,0.1148768416050175,4,2,413,6,0.0095465393794749,0.0047732696897374
5,primary,presence:b2_30m_decay_intensity_innovation,presence,finite_presence_binary,419,0.0005047519068546,0.0,0.0006138360555032,-0.0191659795038771,0.0966679267875344,4,2,413,6,0.0095465393794749,0.0047732696897374
5,primary,presence:b2_30m_decay_intensity_last,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_delta_flow,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_gamma_flow,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
