horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions,qlike_origin
15,2025-08-13,ensemble_top2,B2,0.37992698308467837,4.140066843600788e-06,1.423367555984553e-10,390,6,0.3799269830846783
15,2025-08-13,average_linear3,B0,0.3805840267258363,4.090974013612769e-06,1.4075937426929142e-10,390,6,0.3805840267258364
15,2025-08-13,average_linear3,B1,0.38326354898827547,4.070513170552954e-06,1.4137868552278152e-10,390,6,0.3832635489882755
15,2025-08-13,average_linear3,B2,0.3938228001491404,4.035152242802605e-06,1.4247541550100094e-10,390,6,0.3938228001491405
15,2025-08-13,average_learned4,B0,0.3760529688864788,4.086299993614971e-06,1.4091595318591293e-10,390,6,0.3760529688864788
15,2025-08-13,average_learned4,B1,0.3774809941770785,4.102342331489774e-06,1.4136969269041305e-10,390,6,0.3774809941770785
15,2025-08-13,average_learned4,B2,0.3853186749081677,4.0838192932671866e-06,1.4212924126641319e-10,390,6,0.3853186749081677
15,2025-08-14,seasonal_persistence,B0,0.25386187676458866,2.7738523754857496e-06,2.8931327718395164e-11,378,6,0.25271980395031296
15,2025-08-14,seasonal_persistence,B1,0.25386187676458866,2.7738523754857496e-06,2.8931327718395164e-11,378,6,0.25271980395031296
15,2025-08-14,seasonal_persistence,B2,0.25386187676458866,2.7738523754857496e-06,2.8931327718395164e-11,378,6,0.25271980395031296
15,2025-08-14,log_har,B0,0.19996800768773157,2.4017350930004226e-06,2.4762466379867373e-11,378,6,0.1976302791962685
15,2025-08-14,log_har,B1,0.19552041185190353,2.3020317444066085e-06,2.424335810789761e-11,378,6,0.19329028354741482
15,2025-08-14,log_har,B2,0.19380425742084273,2.2898332822318963e-06,2.405633420540297e-11,378,6,0.19157811636256158
15,2025-08-14,log_ridge_harq,B0,0.19996795633421724,2.401735125652577e-06,2.4762466477126142e-11,378,6,0.19763023134545293
15,2025-08-14,log_ridge_harq,B1,0.19552036711891355,2.302031781072256e-06,2.424335817658633e-11,378,6,0.19329024191445685
15,2025-08-14,log_ridge_harq,B2,0.1936319933520325,2.2899736786150934e-06,2.4056243637077898e-11,378,6,0.1914182806377051
15,2025-08-14,log_elastic_net,B0,0.20006838380262923,2.39557045211381e-06,2.475907941768003e-11,378,6,0.1977383604787778
15,2025-08-14,log_elastic_net,B1,0.1957696693563312,2.3071071876104726e-06,2.4282072252480493e-11,378,6,0.19355062942524678
15,2025-08-14,log_elastic_net,B2,0.19406618986092938,2.2893785172417592e-06,2.4081585663482865e-11,378,6,0.19183647067969686
15,2025-08-14,lightgbm_qlike,B0,0.20445912342882436,2.381197363500481e-06,2.4781889588061366e-11,378,6,0.20219093377481706
